Source,Ticker,Sentiment,Timestamp
4chan (/biz/),BTC,0.5004,2026-02-13 14:12:31.530988
4chan (/biz/),GME,-0.4871,2026-02-13 14:12:31.533339
4chan (/biz/),BTC,0.0,2026-02-13 14:12:31.534831
4chan (/biz/),BTC,0.9809,2026-02-13 14:12:31.540952
4chan (/biz/),BTC,-0.8993,2026-02-13 14:12:31.546864
4chan (/biz/),BTC,-0.1779,2026-02-13 14:12:31.547597
4chan (/biz/),BTC,0.0,2026-02-13 14:12:31.549546
4chan (/biz/),BTC,0.0,2026-02-13 14:12:31.555422
4chan (/biz/),BTC,-0.4976,2026-02-13 14:12:31.556156
4chan (/biz/),BTC,0.0,2026-02-13 14:12:31.557088
4chan (/biz/),BTC,0.0,2026-02-13 14:12:31.558007
4chan (/biz/),GME,0.2263,2026-02-13 14:12:31.558522
4chan (/biz/),GME,-0.4871,2026-02-13 14:12:31.560972
4chan (/biz/),ETH,0.9638,2026-02-13 14:12:31.564969
4chan (/biz/),BTC,0.9638,2026-02-13 14:12:31.565483
4chan (/biz/),TSLA,-0.6705,2026-02-13 14:12:31.568660
4chan (/biz/),BTC,-0.1352,2026-02-13 14:12:31.573438
4chan (/biz/),BTC,-0.5267,2026-02-13 14:12:31.579407
4chan (/biz/),BTC,-0.6124,2026-02-13 14:12:31.583791
4chan (/biz/),BTC,0.0,2026-02-13 14:12:31.584023
4chan (/biz/),BTC,0.0,2026-02-13 14:12:31.584569
