Source,Ticker,Sentiment,Timestamp
4chan (/biz/),GME,-0.0258,2026-03-13 14:10:32.868293
4chan (/biz/),BTC,0.0,2026-03-13 14:10:32.869510
4chan (/biz/),BTC,0.9809,2026-03-13 14:10:32.873826
4chan (/biz/),BTC,0.1179,2026-03-13 14:10:32.874281
4chan (/biz/),BTC,-0.3919,2026-03-13 14:10:32.878681
4chan (/biz/),BTC,0.0,2026-03-13 14:10:32.884186
4chan (/biz/),BTC,0.4215,2026-03-13 14:10:32.884559
4chan (/biz/),BTC,-0.5927,2026-03-13 14:10:32.884800
4chan (/biz/),BTC,0.5719,2026-03-13 14:10:32.888911
4chan (/biz/),BTC,0.9884,2026-03-13 14:10:32.893482
4chan (/biz/),GME,-0.4871,2026-03-13 14:10:32.900317
4chan (/biz/),ETH,-0.1298,2026-03-13 14:10:32.906692
4chan (/biz/),BTC,-0.6124,2026-03-13 14:10:32.907121
4chan (/biz/),BTC,0.7184,2026-03-13 14:10:32.917063
4chan (/biz/),ETH,0.8674,2026-03-13 14:10:32.917928
4chan (/biz/),TSLA,-0.5423,2026-03-13 14:10:32.918483
